No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,
1,1,10uF,C4,C0805,10uF,0805X106K100CT,Walsin(华新科),C105505,LCSC,
2,12,100nF,"C16,C17,C23,C25,C27,C28,C29,C30,C31,C32,C33,C36",C0402,100nF,CL05B104KB54PNC,SAMSUNG(三星),C307331,LCSC,
3,2,1uF,"C24,C26",C0402,1uF,CL05A105KA5NQNC,SAMSUNG(三星),C52923,LCSC,
4,2,15pF,"C34,C35",C0805,15pF,CC0805JRNPO9BN150,YAGEO(国巨),C107110,LCSC,
5,1,472192001,CARD1,TF-SMD_472192001,,472192001,MOLEX,C164170,LCSC,
6,2,MBR120VLSFT1G,"D1,D2",SOD-123F_L2.8-W1.8-LS3.7-RD,,MBR120VLSFT1G,onsemi(安森美),C223608,LCSC,
7,1,USBLC6-2P6,D3,SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BL,,USBLC6-2P6,TECH PUBLIC(台舟),C2827693,LCSC,
8,1,SK6812-B,LED1,LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB,,SK6812-B,欧思科光电,C5380881,LCSC,
9,9,10kΩ,"R8,R9,R15,R19,R20,R21,R22,R23,R24",R0402,10kΩ,0402WGF1002TCE,UNI-ROYAL(厚声),C25744,LCSC,
10,2,5.1kΩ,"R11,R16",R0402,5.1kΩ,0402WGF5101TCE,UNI-ROYAL(厚声),C25905,LCSC,
11,1,330Ω,R12,R0402,330Ω,0402WGF3300TCE,UNI-ROYAL(厚声),C25104,LCSC,
12,2,22Ω,"R13,R14",R0402,22Ω,RC0402FR-0722RL,YAGEO(国巨),C114765,LCSC,
13,1,1kΩ,R25,R0402,1kΩ,RC0402FR-071KL,YAGEO(国巨),C106235,LCSC,
14,1,SK-3296S-01-L1,SW1,SW-SMD_3P-P1.50_L2.7-W6.6,,SK-3296S-01-L1,XKB Connection(中国星坤),C319020,LCSC,
15,1,RP2040,U2,QFN-56_L7.0-W7.0-P0.40-TL-EP4.0,,RP2040,Raspberry Pi(树莓派),C2040,LCSC,
16,1,W25Q32JVSSIQ,U4,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,,W25Q32JVSSIQ,Winbond(华邦),C179173,LCSC,
17,1,TYPE-C 24P-GTJB 040,U5,USB-C-SMD_TYPE-C-24P-GTJB-040,,TYPE-C 24P-GTJB 040,SHOU HAN(首韩),C3151751,LCSC,
18,1,12MHz,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,12MHz,X322512MSB4SI,YXC(扬兴晶振),C9002,LCSC,
