Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C106235,RC0402FR-071KL,YAGEO,0402,,1kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C106235.html
2,C5380881,SK6812-B,OPSCO Optoelectronics,SMD5050-4P,,"SMD5050-4P LED Addressable, Specialty RoHS",yes,5,5,5,0.0851,0.43,https://www.lcsc.com/product-detail/C5380881.html
3,C2040,RP2040,Raspberry Pi,LQFN-56(7x7),,133MHz 30 LQFN-56(7x7) Microcontrollers RoHS,yes,1,1,1,0.9482,0.95,https://www.lcsc.com/product-detail/C2040.html
4,C223608,MBR120VLSFT1G,onsemi,SOD-123FL,,Diode 20V 1A Surface Mount SOD-123FL,yes,5,5,5,0.1229,0.61,https://www.lcsc.com/product-detail/C223608.html
5,C107110,CC0805JRNPO9BN150,YAGEO,0805,,15pF ±5% 50V Ceramic Capacitor NP0 0805,yes,100,100,100,0.0060,0.60,https://www.lcsc.com/product-detail/C107110.html
6,C3151751,TYPE-C 24P-GTJB 040,SHOU HAN,SMD,,USB-C (USB TYPE-C) Receptacle Connector 24 Position Clamp Plate,yes,5,5,5,0.1182,0.59,https://www.lcsc.com/product-detail/C3151751.html
7,C9002,X322512MSB4SI,YXC Crystal Oscillators,SMD3225-4P,,Crystal 12MHz ±10ppm 20pF SMD3225-4P,yes,10,10,10,0.0680,0.68,https://www.lcsc.com/product-detail/C9002.html
8,C179173,W25Q32JVSSIQ,Winbond,SOIC-8-208mil,,32Mbit 2.7V~3.6V 133MHz SPI SOIC-8-208mil Memory (ICs) RoHS,yes,1,1,1,0.6744,0.67,https://www.lcsc.com/product-detail/C179173.html
9,C319020,SK-3296S-01-L1,XKB Connection,"SMD,7.8x2.8mm",,"Slide Switch SPDT 50mA @ 12V Surface Mount, Right Angle Rectangular Columnar 7.8mm",yes,10,10,10,0.0559,0.56,https://www.lcsc.com/product-detail/C319020.html
10,C105505,0805X106K100CT,Walsin,0805,,10uF ±10% 10V Ceramic Capacitor X5R 0805,yes,50,50,50,0.0178,0.89,https://www.lcsc.com/product-detail/C105505.html
11,C114765,RC0402FR-0722RL,YAGEO,0402,,22Ω 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0007,0.07,https://www.lcsc.com/product-detail/C114765.html
12,C25104,0402WGF3300TCE,UNI-ROYAL,0402,,330Ω ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0007,0.07,https://www.lcsc.com/product-detail/C25104.html
13,C25905,0402WGF5101TCE,UNI-ROYAL,0402,,5.1kΩ ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/C25905.html
14,C25744,0402WGF1002TCE,UNI-ROYAL,0402,,10kΩ ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C25744.html
15,C2827693,USBLC6-2P6,TECH PUBLIC,SOT-666-6,,14VC Clamp 5.5A Ipp ESD DIODE SOT-666-6,yes,5,5,5,0.1124,0.56,https://www.lcsc.com/product-detail/C2827693.html
16,C164170,472192001,MOLEX,SMD,,Micro SD card (TF card) Connector and Ejector Hinged Lid Surface Mount,yes,1,1,1,0.5994,0.60,https://www.lcsc.com/product-detail/C164170.html
17,C52923,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,,1uF ±10% 25V Ceramic Capacitor X5R 0402,yes,100,100,100,0.0030,0.30,https://www.lcsc.com/product-detail/C52923.html
18,C307331,CL05B104KB54PNC,Samsung Electro-Mechanics,0402,,100nF ±10% 50V Ceramic Capacitor X7R 0402,yes,100,100,100,0.0038,0.38,https://www.lcsc.com/product-detail/C307331.html
